Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent + CLOROX 85 loads,,Purex Concentrated Detergent + CLOROX 85 loads,9.99,1,Market Basket,128 fl oz,128 fl oz,DE0025.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent After the Rain 115 loads,,Purex Concentrated Detergent After the Rain 115 loads,9.99,1,Market Basket,150 fl oz,150 fl oz,DE0026.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Detergent Odor Release 85 Loads,,Purex Detergent Odor Release 85 Loads,9.99,1,Market Basket,128 fl oz,128 fl oz,DE0027.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Natural Elements Linen & Lilies 57 Loads Laundry Detergent,,Purex Natural Elements Linen & Lilies 57 Loads Laundry Detergent,3.74,1,Market Basket,75 fl oz,75 fl oz,DE0028.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Natural Elements Linen & Lilies 115 Loads Laundry Detergent,,Purex Natural Elements Linen & Lilies 115 Loads Laundry Detergent,9.99,1,Market Basket,150 fl oz,150 fl oz,DE0029.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Seventh Generation,Seventh Generation Ultra Power Plus Laundry Detergent fresh CITRUS scent,,Seventh Generation Ultra Power Plus Laundry Detergent fresh CITRUS scent,15.61,1,Market Basket,95 fl oz,95 fl oz,DE0019.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Seventh Generation,Seventh Generation Laundry Detergent fresh Lavender scent,,Seventh Generation Laundry Detergent fresh Lavender scent,9.99,1,Market Basket,50 fl oz,50 fl oz,DE0020.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Sun,Sun Triple Clean clean&fresh 32 medium loads laundry detergent,,Sun Triple Clean clean&fresh 32 medium loads laundry detergent,2.49,1,Market Basket,45.4 fl oz,45.4 fl oz,DE0003.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Sun,Sun Triple Clean plus OXI original fresh 28 medium loads laundry detergent,,Sun Triple Clean plus OXI original fresh 28 medium loads laundry detergent,2.49,1,Market Basket,45.4 fl oz,45.4 fl oz,DE0004.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Sun,Sun Triple Clean fresh morning breeze 32 medium loads laundry detergent,,Sun Triple Clean fresh morning breeze 32 medium loads laundry detergent,2.49,1,Market Basket,45.4 fl oz,45.4 fl oz,DE0005.jpg,,15
